file	ploidy	quality_manual	coverage	spikiness	evenness.mean	evenness.med	paired.end	background	reads.per.mb.bpr	coverage.bpr	gene
blm_recq5-2-single-c16-w16_.trimmed.mdup.bam	1	G	0.008590781	0.227887523	0.23108076	0.230665663	pe	0.024421594	36	0.27	BLM/RECQL5
blm_recq5-2-single-c16-w18_.trimmed.mdup.bam	1	G	0.011481228	0.209742905	0.225306194	0.225160882	pe	0.024080518	46	0.34	BLM/RECQL5
blm_recq5-2-single-c16-w2_.trimmed.mdup.bam	1	G	0.008443655	0.244192848	0.235480313	0.235376359	pe	0.03445729	33	0.25	BLM/RECQL5
blm_recq5-2-single-c16-w21_.trimmed.mdup.bam	1	G	0.014128367	0.191283511	0.218694484	0.218254165	pe	0.02194723	58	0.44	BLM/RECQL5
blm_recq5-2-single-c16-w22_.trimmed.mdup.bam	1	G	0.013680486	0.200882989	0.232215516	0.231297618	pe	0.03286369	56	0.42	BLM/RECQL5
blm_recq5-2-single-c16-w23_.trimmed.mdup.bam	1	G	0.029037241	0.255383615	0.257366207	0.244257104	pe	0.019236054	135	0.89	BLM/RECQL5
blm_recq5-2-single-c16-w24_.trimmed.mdup.bam	1	G	0.011137605	0.321925118	0.259115466	0.258558354	pe	0.024581353	46	0.34	BLM/RECQL5
blm_recq5-2-single-c16-w25_.trimmed.mdup.bam	1	G	0.01249125	0.201699079	0.229144052	0.229017622	pe	0.030948952	49	0.37	BLM/RECQL5
blm_recq5-2-single-c16-w26_.trimmed.mdup.bam	1	G	0.024386791	0.16268699	0.214505454	0.213866972	pe	0.020476654	99	0.74	BLM/RECQL5
blm_recq5-2-single-c16-w29_.trimmed.mdup.bam	1	G	0.025093192	0.145095954	0.201459495	0.200442471	pe	0.015649604	115	0.85	BLM/RECQL5
blm_recq5-2-single-c16-w30_.trimmed.mdup.bam	1	G	0.018505767	0.202161397	0.223646393	0.223620448	pe	0.063170066	74	0.56	BLM/RECQL5
blm_recq5-2-single-c16-w31_.trimmed.mdup.bam	1	G	0.02752403	0.241949231	0.242314357	0.232037999	pe	0.01826738	123	0.84	BLM/RECQL5
blm_recq5-2-single-c16-w32_.trimmed.mdup.bam	1	G	0.008684594	0.225944816	0.227229947	0.227200983	pe	0.023615775	36	0.27	BLM/RECQL5
blm_recq5-2-single-c16-w33_.trimmed.mdup.bam	1	G	0.01304767	0.188914989	0.218720853	0.218457361	pe	0.02716126	55	0.41	BLM/RECQL5
blm_recq5-2-single-c16-w34_.trimmed.mdup.bam	1	G	0.010756593	0.204669266	0.219387429	0.219291153	pe	0.02770737	46	0.35	BLM/RECQL5
blm_recq5-2-single-c16-w35_.trimmed.mdup.bam	1	G	0.0162936	0.201874937	0.195294025	0.19478535	pe	0.028043599	66	0.51	BLM/RECQL5
blm_recq5-2-single-c16-w36_.trimmed.mdup.bam	1	G	0.017478522	0.1815598	0.226586056	0.225406099	pe	0.024149684	66	0.52	BLM/RECQL5
blm_recq5-2-single-c16-w38_.trimmed.mdup.bam	1	G	0.010474831	0.206702272	0.224808	0.22474507	pe	0.026078844	42	0.32	BLM/RECQL5
blm_recq5-2-single-c16-w4_.trimmed.mdup.bam	1	G	0.008375011	0.356247566	0.266711099	0.259009407	pe	0.031927737	46	0.31	BLM/RECQL5
blm_recq5-2-single-c16-w40_.trimmed.mdup.bam	1	G	0.015759794	0.18670263	0.2194425	0.219193057	pe	0.018728185	64	0.48	BLM/RECQL5
blm_recq5-2-single-c16-w41_.trimmed.mdup.bam	1	G	0.00986318	0.262859113	0.239150585	0.236951895	pe	0.131865343	42	0.34	BLM/RECQL5
blm_recq5-2-single-c16-w42_.trimmed.mdup.bam	1	G	0.015066535	0.192978746	0.2205581	0.220223407	pe	0.024180897	61	0.45	BLM/RECQL5
blm_recq5-2-single-c16-w44_.trimmed.mdup.bam	1	G	0.025462403	0.201460843	0.232345946	0.232173818	pe	0.081256472	99	0.76	BLM/RECQL5
blm_recq5-2-single-c16-w47_.trimmed.mdup.bam	1	G	0.008299461	0.307414327	0.247999492	0.243050141	pe	0.030889657	40	0.28	BLM/RECQL5
blm_recq5-2-single-c16-w7_.trimmed.mdup.bam	1	G	0.01152482	0.211211815	0.220830011	0.220674483	pe	0.031467257	46	0.34	BLM/RECQL5
blm_recq5-2-single-c16-w8_.trimmed.mdup.bam	1	G	0.008102484	0.33269282	0.254082632	0.25129935	pe	0.025292773	36	0.26	BLM/RECQL5
blm-1-fdu-mnase-single-f11-r1-c1_S246_.trimmed.mdup.bam	1	G	0.017287931	0.157070181	0.204817493	0.202112534	pe	0.106768933	100	0.72	BLM
blm-1-fdu-mnase-single-f11-r1-c2_S247_.trimmed.mdup.bam	1	G	0.030292051	0.132679513	0.195860834	0.191524352	pe	0.08166789	168	1.22	BLM
blm-1-fdu-mnase-single-f11-r1-c7_S252_.trimmed.mdup.bam	1	G	0.030977149	0.14456704	0.245309062	0.242763877	pe	0.062485761	160	1.16	BLM
blm-1-fdu-mnase-single-f11-r2-c1_S253_.trimmed.mdup.bam	1	G	0.02725352	0.137915516	0.197721783	0.194798441	pe	0.091772966	152	1.1	BLM
blm-1-fdu-mnase-single-f11-r2-c2_S254_.trimmed.mdup.bam	1	G	0.024107515	0.145586836	0.199066528	0.195589458	pe	0.120978511	139	1.01	BLM
blm-1-fdu-mnase-single-f11-r2-c3_S255_.trimmed.mdup.bam	1	G	0.031160864	0.132673641	0.20020957	0.195826041	pe	0.103021995	171	1.23	BLM
blm-1-fdu-mnase-single-f11-r3-c1_S260_.trimmed.mdup.bam	1	G	0.018343827	0.147486422	0.204680287	0.203607407	pe	0.12181373	106	0.78	BLM
blm-1-fdu-mnase-single-f11-r3-c2_S261_.trimmed.mdup.bam	1	G	0.023730704	0.138744129	0.194940557	0.192085252	pe	0.07872388	135	0.97	BLM
blm-1-fdu-mnase-single-f11-r3-c3_S262_.trimmed.mdup.bam	1	G	0.010031271	0.185505358	0.212076698	0.210604658	pe	0.120890274	62	0.46	BLM
blm-1-fdu-mnase-single-f11-r3-c5_S264_.trimmed.mdup.bam	1	G	0.035152034	0.126862989	0.193573392	0.190372631	pe	0.098501672	185	1.34	BLM
blm-1-fdu-mnase-single-f11-r4-c1_S267_.trimmed.mdup.bam	1	G	0.01687913	0.156231319	0.202910627	0.200687046	pe	0.095065286	99	0.72	BLM
blm-1-fdu-mnase-single-f11-r4-c2_S268_.trimmed.mdup.bam	1	G	0.02097191	0.142392959	0.199482781	0.197075088	pe	0.091836232	121	0.88	BLM
blm-1-fdu-mnase-single-f11-r4-c3_S269_.trimmed.mdup.bam	1	G	0.028491273	0.135076031	0.195523038	0.1912464	pe	0.086637667	159	1.15	BLM
blm-1-fdu-mnase-single-f11-r4-c4_S270_.trimmed.mdup.bam	1	G	0.031950571	0.131371716	0.194213607	0.190618563	pe	0.106446681	172	1.25	BLM
blm-1-fdu-mnase-single-f11-r4-c6_S272_.trimmed.mdup.bam	1	G	0.024031783	0.141848467	0.194891373	0.192160246	pe	0.125111365	136	0.99	BLM
blm-1-fdu-mnase-single-f11-r4-c7_S273_.trimmed.mdup.bam	1	G	0.02451615	0.137021767	0.194530034	0.191660476	pe	0.103228724	139	1	BLM
blm-1-fdu-mnase-single-f11-r5-c3_S276_.trimmed.mdup.bam	1	G	0.03986492	0.122715451	0.196015065	0.192337757	pe	0.107931404	206	1.5	BLM
blm-1-fdu-mnase-single-f11-r5-c5_S278_.trimmed.mdup.bam	1	G	0.024666415	0.140527198	0.201308215	0.196641183	pe	0.083513303	140	1.01	BLM
blm-1-fdu-mnase-single-f11-r5-c7_S280_.trimmed.mdup.bam	1	G	0.030834705	0.186062971	0.226201575	0.216412654	pe	0.103679637	177	1.23	BLM
blm-1-fdu-mnase-single-f11-r6-c2_S282_.trimmed.mdup.bam	1	G	0.028382052	0.137097344	0.196283904	0.193040105	pe	0.094477121	157	1.14	BLM
blm-1-fdu-mnase-single-f11-r6-c3_S283_.trimmed.mdup.bam	1	G	0.0278629	0.135972128	0.204701553	0.199471744	pe	0.091508042	155	1.11	BLM
blm-1-fdu-mnase-single-f11-r6-c5_S285_.trimmed.mdup.bam	1	G	0.031380845	0.138787558	0.197086493	0.195441164	pe	0.135594587	172	1.26	BLM
blm-1-fdu-mnase-single-f11-r6-c6_S286_.trimmed.mdup.bam	1	G	0.011073144	0.173788375	0.208229051	0.20625897	pe	0.098157369	68	0.49	BLM
blm-1-fdu-mnase-single-f11-r6-c7_S287_.trimmed.mdup.bam	1	G	0.021102498	0.145154795	0.200387669	0.196323125	pe	0.088912186	118	0.85	BLM
blm-1-fdu-mnase-single-f11-r7-c2_S289_.trimmed.mdup.bam	1	G	0.019174997	0.151062767	0.201923698	0.19984182	pe	0.120613349	104	0.76	BLM
blm-1-fdu-mnase-single-f11-r7-c3_S290_.trimmed.mdup.bam	1	G	0.021909119	0.140661288	0.201123524	0.200579792	pe	0.089488383	124	0.92	BLM
blm-1-fdu-mnase-single-f11-r7-c4_S291_.trimmed.mdup.bam	1	G	0.030172966	0.147148305	0.191850669	0.19167075	pe	0.145517123	159	1.19	BLM
blm-1-fdu-mnase-single-f11-r7-c5_S292_.trimmed.mdup.bam	1	G	0.013886224	0.161139331	0.206024687	0.203424205	pe	0.10875031	83	0.6	BLM
blm-1-fdu-mnase-single-f11-r7-c6_S293_.trimmed.mdup.bam	1	G	0.025865098	0.135225557	0.199867693	0.195592107	pe	0.096865744	140	1.01	BLM
blm-1-fdu-mnase-single-f3-r1-c2_S51_.trimmed.mdup.bam	1	G	0.032536147	0.135932057	0.196771242	0.195520916	pe	0.08548393	187	1.37	BLM
blm-1-fdu-mnase-single-f3-r1-c5_S54_.trimmed.mdup.bam	1	G	0.066175248	0.123948974	0.200815684	0.198074529	pe	0.101916299	357	2.57	BLM
blm-1-fdu-mnase-single-f3-r1-c6_S55_.trimmed.mdup.bam	1	G	0.055263031	0.136410455	0.200219329	0.197631481	pe	0.101081967	296	2.15	BLM
blm-1-fdu-mnase-single-f3-r1-c7_S56_.trimmed.mdup.bam	1	G	0.060566199	0.116256307	0.193964572	0.190095633	pe	0.083370448	333	2.41	BLM
blm-1-fdu-mnase-single-f3-r2-c2_S58_.trimmed.mdup.bam	1	G	0.030154684	0.150012688	0.212026461	0.210302897	pe	0.10787208	179	1.3	BLM
blm-1-fdu-mnase-single-f3-r2-c3_S59_.trimmed.mdup.bam	1	G	0.049176315	0.125111396	0.196076781	0.192833088	pe	0.101737651	267	1.93	BLM
blm-1-fdu-mnase-single-f3-r3-c3_S66_.trimmed.mdup.bam	1	G	0.015377339	0.160817507	0.208469896	0.207535906	pe	0.089558638	96	0.7	BLM
blm-1-fdu-mnase-single-f3-r3-c4_S67_.trimmed.mdup.bam	1	G	0.044823614	0.128634776	0.200518426	0.197381691	pe	0.097479024	259	1.87	BLM
blm-1-fdu-mnase-single-f3-r3-c5_S68_.trimmed.mdup.bam	1	G	0.08803075	0.116403091	0.196568171	0.193386829	pe	0.100498164	438	3.16	BLM
blm-1-fdu-mnase-single-f3-r4-c1_S71_.trimmed.mdup.bam	1	G	0.040203863	0.131577935	0.204043016	0.20138702	pe	0.099366616	227	1.64	BLM
blm-1-fdu-mnase-single-f3-r4-c4_S74_.trimmed.mdup.bam	1	G	0.085254184	0.110210312	0.187277605	0.183154333	pe	0.087132164	424	3.07	BLM
blm-1-fdu-mnase-single-f3-r4-c7_S77_.trimmed.mdup.bam	1	G	0.033466659	0.132399643	0.198649551	0.19692519	pe	0.099555313	197	1.44	BLM
blm-1-fdu-mnase-single-f3-r5-c1_S78_.trimmed.mdup.bam	1	G	0.005772899	0.21626367	0.227011846	0.226352177	pe	0.098430001	37	0.27	BLM
blm-1-fdu-mnase-single-f3-r5-c2_S79_.trimmed.mdup.bam	1	G	0.028431724	0.146664748	0.201406287	0.200039089	pe	0.117139246	166	1.22	BLM
blm-1-fdu-mnase-single-f3-r5-c7_S84_.trimmed.mdup.bam	1	G	0.053076141	0.131663286	0.197883242	0.195589508	pe	0.13022419	292	2.13	BLM
blm-1-fdu-mnase-single-f3-r6-c2_S86_.trimmed.mdup.bam	1	G	0.05027232	0.155715113	0.212902707	0.207312049	pe	0.103996348	275	1.95	BLM
blm-1-fdu-mnase-single-f3-r6-c4_S88_.trimmed.mdup.bam	1	G	0.03189201	0.135981276	0.20296097	0.200589319	pe	0.108372637	190	1.38	BLM
blm-1-fdu-mnase-single-f3-r6-c5_S89_.trimmed.mdup.bam	1	G	0.053326461	0.127052514	0.200207751	0.197149545	pe	0.093090889	294	2.13	BLM
blm-1-fdu-mnase-single-f3-r6-c6_S90_.trimmed.mdup.bam	1	G	0.022084653	0.144778381	0.202520767	0.201108858	pe	0.088012072	135	0.99	BLM
blm-1-fdu-single-f1-r2-c2_S1_.trimmed.mdup.bam	1	G	0.010104394	0.194215753	0.207220131	0.206554847	pe	0.080237081	65	0.48	BLM
blm-1-fdu-single-f1-r2-c4_S3_.trimmed.mdup.bam	1	G	0.019767055	0.136324861	0.192575303	0.189476515	pe	0.037466192	126	0.91	BLM
blm-1-fdu-single-f1-r2-c6_S5_.trimmed.mdup.bam	1	G	0.024021311	0.129620768	0.194127326	0.18901377	pe	0.039178283	151	1.08	BLM
blm-1-fdu-single-f1-r3-c2_S6_.trimmed.mdup.bam	1	G	0.015176677	0.150821311	0.198377939	0.194643487	pe	0.05254455	98	0.71	BLM
blm-1-fdu-single-f1-r3-c4_S8_.trimmed.mdup.bam	1	G	0.012042539	0.162486052	0.204468301	0.20251099	pe	0.039097483	78	0.57	BLM
blm-1-fdu-single-f1-r3-c5_S9_.trimmed.mdup.bam	1	G	0.02612957	0.127531309	0.191483716	0.186498793	pe	0.043137554	162	1.17	BLM
blm-1-fdu-single-f1-r3-c6_S10_.trimmed.mdup.bam	1	G	0.023000064	0.137423497	0.191558246	0.191486033	pe	0.053496233	141	1.05	BLM
blm-1-fdu-single-f1-r4-c2_S11_.trimmed.mdup.bam	1	G	0.011478417	0.164144192	0.203506613	0.201242242	pe	0.047316566	75	0.54	BLM
blm-1-fdu-single-f1-r4-c3_S12_.trimmed.mdup.bam	1	G	0.008426599	0.181091143	0.215204086	0.213492732	pe	0.037848218	55	0.4	BLM
blm-1-fdu-single-f1-r4-c5_S14_.trimmed.mdup.bam	1	G	0.022979741	0.138034872	0.205229746	0.200321513	pe	0.026557336	145	1.04	BLM
blm-1-fdu-single-f1-r4-c6_S15_.trimmed.mdup.bam	1	G	0.016628909	0.143893645	0.208666376	0.200988275	pe	0.041341	109	0.77	BLM
blm-1-fdu-single-f1-r5-c2_S16_.trimmed.mdup.bam	1	G	0.012751415	0.158854725	0.199917679	0.19810292	pe	0.033965797	83	0.6	BLM
blm-1-fdu-single-f1-r5-c3_S17_.trimmed.mdup.bam	1	G	0.020222522	0.137032863	0.193738296	0.189997489	pe	0.04392572	128	0.92	BLM
blm-1-fdu-single-f1-r5-c5_S19_.trimmed.mdup.bam	1	G	0.022094399	0.135383584	0.193341137	0.189703223	pe	0.040239063	139	1.01	BLM
blm-1-fdu-single-f1-r5-c6_S20_.trimmed.mdup.bam	1	G	0.008665243	0.266806921	0.249907411	0.238521318	pe	0.048966031	62	0.41	BLM
blm-1-fdu-single-f1-r6-c4_S23_.trimmed.mdup.bam	1	G	0.013493957	0.152608487	0.199328297	0.196332337	pe	0.044307146	88	0.63	BLM
blm-1-fdu-single-f1-r6-c5_S24_.trimmed.mdup.bam	1	G	0.019735891	0.135813061	0.190868839	0.188305161	pe	0.040514155	125	0.91	BLM
blm-1-fdu-single-f2-r2-c2_S26_.trimmed.mdup.bam	1	G	0.006352193	0.198950789	0.214244202	0.213239993	pe	0.038640937	42	0.3	BLM
blm-1-fdu-single-f2-r2-c3_S27_.trimmed.mdup.bam	1	G	0.016529314	0.146157924	0.197981405	0.194047281	pe	0.036838371	105	0.76	BLM
blm-1-fdu-single-f2-r2-c5_S29_.trimmed.mdup.bam	1	G	0.011869724	0.164571014	0.204845577	0.202973463	pe	0.035741256	77	0.56	BLM
blm-1-fdu-single-f2-r2-c6_S30_.trimmed.mdup.bam	1	G	0.026555833	0.127332102	0.147936744	0.143527896	pe	0.03550108	153	1.21	BLM
blm-1-fdu-single-f2-r3-c2_S31_.trimmed.mdup.bam	1	G	0.01332857	0.155402016	0.198531048	0.196256184	pe	0.031757741	86	0.63	BLM
blm-1-fdu-single-f2-r3-c4_S33_.trimmed.mdup.bam	1	G	0.012372063	0.161679488	0.204473241	0.201975843	pe	0.027313266	81	0.59	BLM
blm-1-fdu-single-f2-r3-c6_S35_.trimmed.mdup.bam	1	G	0.012609306	0.161132627	0.199325219	0.197389987	pe	0.042708731	81	0.59	BLM
blm-1-fdu-single-f2-r4-c2_S36_.trimmed.mdup.bam	1	G	0.008423681	0.1848754	0.209142167	0.20765269	pe	0.03680398	54	0.4	BLM
blm-1-fdu-single-f2-r4-c3_S37_.trimmed.mdup.bam	1	G	0.008477246	0.178924654	0.207554025	0.206552504	pe	0.034869935	55	0.41	BLM
blm-1-fdu-single-f2-r4-c5_S39_.trimmed.mdup.bam	1	G	0.015673047	0.150703293	0.197240884	0.194809466	pe	0.03607495	99	0.72	BLM
blm-1-fdu-single-f2-r4-c6_S40_.trimmed.mdup.bam	1	G	0.014660901	0.154798146	0.19869902	0.19642106	pe	0.040796955	94	0.69	BLM
blm-1-fdu-single-f2-r5-c2_S41_.trimmed.mdup.bam	1	G	0.010122118	0.173113944	0.20379392	0.202194365	pe	0.037886001	66	0.48	BLM
blm-1-fdu-single-f2-r5-c3_S42_.trimmed.mdup.bam	1	G	0.021403786	0.138140695	0.194289115	0.190521059	pe	0.039149345	135	0.98	BLM
blm-1-fdu-single-f2-r5-c4_S43_.trimmed.mdup.bam	1	G	0.029360063	0.129871029	0.194021229	0.190948417	pe	0.031108907	184	1.34	BLM
blm-1-fdu-single-f2-r5-c6_S45_.trimmed.mdup.bam	1	G	0.006675134	0.205197963	0.217641394	0.217290941	pe	0.027629355	43	0.32	BLM
blm-1-fdu-single-f2-r6-c2_S46_.trimmed.mdup.bam	1	G	0.019391834	0.143729901	0.195913179	0.192647875	pe	0.03245447	123	0.89	BLM
blm-1-fdu-single-f2-r6-c4_S48_.trimmed.mdup.bam	1	G	0.010075241	0.167718002	0.205290567	0.202582706	pe	0.043785522	66	0.48	BLM
blm-1-fdu-single-f2-r6-c5_S49_.trimmed.mdup.bam	1	G	0.011638899	0.162628819	0.203552347	0.201393811	pe	0.044159803	75	0.55	BLM
blm-1-mnase-single-f12-r1-c2_S296_.trimmed.mdup.bam	1	G	0.023420315	0.138379879	0.200293948	0.199872301	pe	0.099907257	136	1.01	BLM
blm-1-mnase-single-f12-r1-c3_S297_.trimmed.mdup.bam	1	G	0.029464408	0.134779188	0.199611321	0.196953915	pe	0.092657688	173	1.26	BLM
blm-1-mnase-single-f12-r1-c6_S300_.trimmed.mdup.bam	1	G	0.029760667	0.130160374	0.194329271	0.191781015	pe	0.080870243	172	1.26	BLM
blm-1-mnase-single-f12-r1-c7_S301_.trimmed.mdup.bam	1	G	0.029846589	0.128790879	0.19687284	0.192025878	pe	0.086276821	176	1.27	BLM
blm-1-mnase-single-f12-r2-c2_S303_.trimmed.mdup.bam	1	G	0.014054945	0.16379297	0.213405797	0.210473632	pe	0.099381501	88	0.63	BLM
blm-1-mnase-single-f12-r2-c3_S304_.trimmed.mdup.bam	1	G	0.020388567	0.156019316	0.206811347	0.205882562	pe	0.144808622	119	0.87	BLM
blm-1-mnase-single-f12-r2-c4_S305_.trimmed.mdup.bam	1	G	0.029562299	0.132213587	0.193140696	0.191677322	pe	0.117509194	167	1.22	BLM
blm-1-mnase-single-f12-r2-c5_S306_.trimmed.mdup.bam	1	G	0.018572341	0.144487268	0.200066669	0.196564304	pe	0.098841168	111	0.81	BLM
blm-1-mnase-single-f12-r2-c6_S307_.trimmed.mdup.bam	1	G	0.026240956	0.134909911	0.195630453	0.19160552	pe	0.080089373	152	1.1	BLM
blm-1-mnase-single-f12-r2-c7_S308_.trimmed.mdup.bam	1	G	0.024943229	0.138062264	0.200942831	0.196569571	pe	0.10419167	149	1.07	BLM
blm-1-mnase-single-f12-r3-c1_S309_.trimmed.mdup.bam	1	G	0.012537002	0.166054061	0.207167602	0.205710722	pe	0.088372873	78	0.57	BLM
blm-1-mnase-single-f12-r3-c3_S311_.trimmed.mdup.bam	1	G	0.004849009	0.225239463	0.223212211	0.222375653	pe	0.096472234	31	0.23	BLM
blm-1-mnase-single-f12-r3-c5_S313_.trimmed.mdup.bam	1	G	0.02672472	0.1358227	0.195270369	0.192447669	pe	0.125556204	154	1.12	BLM
blm-1-mnase-single-f12-r3-c6_S314_.trimmed.mdup.bam	1	G	0.048207359	0.128385183	0.204699068	0.20156192	pe	0.092701779	282	2.05	BLM
blm-1-mnase-single-f12-r4-c1_S316_.trimmed.mdup.bam	1	G	0.015967932	0.157263367	0.205643388	0.203788365	pe	0.125147616	97	0.71	BLM
blm-1-mnase-single-f12-r4-c2_S317_.trimmed.mdup.bam	1	G	0.01545113	0.159406736	0.204748543	0.201937776	pe	0.121578757	95	0.69	BLM
blm-1-mnase-single-f12-r4-c3_S318_.trimmed.mdup.bam	1	G	0.014060935	0.161995679	0.199888919	0.198816513	pe	0.089033743	85	0.63	BLM
blm-1-mnase-single-f12-r4-c5_S320_.trimmed.mdup.bam	1	G	0.020426771	0.144651573	0.199805072	0.195722464	pe	0.097426301	122	0.88	BLM
blm-1-mnase-single-f12-r4-c6_S321_.trimmed.mdup.bam	1	G	0.019944135	0.148151962	0.199317867	0.196684116	pe	0.120959207	121	0.88	BLM
blm-1-mnase-single-f12-r4-c7_S322_.trimmed.mdup.bam	1	G	0.012925765	0.159763067	0.20573654	0.203425729	pe	0.103533428	80	0.59	BLM
blm-1-mnase-single-f12-r5-c2_S324_.trimmed.mdup.bam	1	G	0.012166286	0.169263154	0.207231449	0.206635764	pe	0.125244761	75	0.55	BLM
blm-1-mnase-single-f12-r5-c3_S325_.trimmed.mdup.bam	1	G	0.01865734	0.148835918	0.199187203	0.196510156	pe	0.114715093	109	0.79	BLM
blm-1-mnase-single-f12-r5-c4_S326_.trimmed.mdup.bam	1	G	0.022225423	0.144650933	0.197181819	0.19464371	pe	0.135287836	128	0.94	BLM
blm-1-mnase-single-f12-r5-c6_S328_.trimmed.mdup.bam	1	G	0.010904444	0.17384907	0.206054268	0.204028351	pe	0.112288613	68	0.5	BLM
blm-1-mnase-single-f12-r5-c7_S329_.trimmed.mdup.bam	1	G	0.023397493	0.138268931	0.198431129	0.19471423	pe	0.091672514	139	1.01	BLM
blm-1-mnase-single-f12-r6-c1_S330_.trimmed.mdup.bam	1	G	0.011887064	0.171345018	0.208548113	0.206049381	pe	0.098363095	72	0.53	BLM
blm-1-mnase-single-f12-r6-c2_S331_.trimmed.mdup.bam	1	G	0.019576652	0.149572637	0.199233526	0.197001554	pe	0.109386263	116	0.84	BLM
blm-1-mnase-single-f12-r6-c3_S332_.trimmed.mdup.bam	1	G	0.02574787	0.133775403	0.19733806	0.194307015	pe	0.086546955	148	1.07	BLM
blm-1-mnase-single-f12-r6-c4_S333_.trimmed.mdup.bam	1	G	0.008925172	0.184513727	0.211036091	0.209757458	pe	0.102184215	56	0.41	BLM
blm-1-mnase-single-f12-r6-c6_S335_.trimmed.mdup.bam	1	G	0.006141958	0.207019707	0.218413546	0.216956875	pe	0.113765902	39	0.29	BLM
blm-1-mnase-single-f12-r6-c7_S336_.trimmed.mdup.bam	1	G	0.021867261	0.13964341	0.198544342	0.196086525	pe	0.105025978	129	0.94	BLM
blm-1-mnase-single-f12-r7-c1_S337_.trimmed.mdup.bam	1	G	0.010247598	0.173421863	0.20894717	0.206913496	pe	0.122360877	63	0.46	BLM
