seqnames	start	end	width	strand	genoT	Extract.Name	ploidy	library
chr8	7126270	8408040	1281771	*	ww-wc	NW1401014-I_34	2	NW1401014-I_34
chr8	12006418	12689558	683141	*	wc-ww	NW1401014-I_34	2	NW1401014-I_34
chrX	2647720	3136107	488388	*	wc-ww	NW1401014-I_34	2	NW1401014-I_34
chr1	69264240	69391550	127311	*	cc-wc	NW1401014-I_39	2	NW1401014-I_39
chr1	191674533	191908006	233474	*	wc-cc	NW1401014-I_39	2	NW1401014-I_39
chr11	122824226	123362749	538524	*	wc-ww	NW1401014-I_39	2	NW1401014-I_39
chr2	98411984	99011194	599211	*	wc-ww	NW1401014-I_39	2	NW1401014-I_39
chr2	149375288	149728417	353130	*	ww-wc	NW1401014-I_39	2	NW1401014-I_39
chr21	22408400	22629433	221034	*	ww-wc	NW1401014-I_39	2	NW1401014-I_39
chr3	29382086	30569210	1187125	*	ww-wc	NW1401014-I_39	2	NW1401014-I_39
chr4	173943950	174142834	198885	*	ww-wc	NW1401014-I_39	2	NW1401014-I_39
chr5	74953738	75604161	650424	*	wc-ww	NW1401014-I_39	2	NW1401014-I_39
chr5	113704049	114071463	367415	*	ww-wc	NW1401014-I_39	2	NW1401014-I_39
chr7	99157105	99651125	494021	*	cc-wc	NW1401014-I_39	2	NW1401014-I_39
chr8	7023987	8320751	1296765	*	wc-cc	NW1401014-I_39	2	NW1401014-I_39
chr8	11894938	12628327	733390	*	cc-wc	NW1401014-I_39	2	NW1401014-I_39
chrX	2508960	2922098	413139	*	wc-ww	NW1401014-I_39	2	NW1401014-I_39
chr11	80586850	80845077	258228	*	cc-wc	NW1401014-I_40	2	NW1401014-I_40
chr14	78150101	78638435	488335	*	cc-wc	NW1401014-I_40	2	NW1401014-I_40
chr5	103769835	103981438	211604	*	cc-wc	NW1401014-I_40	2	NW1401014-I_40
chr5	117063564	117345924	282361	*	wc-cc	NW1401014-I_40	2	NW1401014-I_40
chr8	7024296	8348505	1324210	*	ww-wc	NW1401014-I_40	2	NW1401014-I_40
chr8	12131817	12731361	599545	*	wc-ww	NW1401014-I_40	2	NW1401014-I_40
chr1	154110624	156248461	2137838	*	ww-wc	NW1401014-I_44	2	NW1401014-I_44
chr16	3175809	4776133	1600325	*	cc-wc	NW1401014-I_44	2	NW1401014-I_44
chr16	77994603	78680154	685552	*	wc-cc	NW1401014-I_44	2	NW1401014-I_44
chr2	120445071	120807401	362331	*	wc-ww	NW1401014-I_44	2	NW1401014-I_44
chr3	43814131	44094853	280723	*	cc-wc	NW1401014-I_44	2	NW1401014-I_44
chr3	59956258	60454691	498434	*	wc-ww	NW1401014-I_44	2	NW1401014-I_44
chr4	112671271	113115920	444650	*	cc-wc	NW1401014-I_44	2	NW1401014-I_44
chr6	129158693	129547106	388414	*	ww-wc	NW1401014-I_44	2	NW1401014-I_44
chr7	81258965	81604452	345488	*	ww-wc	NW1401014-I_44	2	NW1401014-I_44
chr7	151239630	151656412	416783	*	wc-cc	NW1401014-I_44	2	NW1401014-I_44
chr8	7036705	8381359	1344655	*	ww-wc	NW1401014-I_44	2	NW1401014-I_44
chr8	11976661	12774094	797434	*	wc-ww	NW1401014-I_44	2	NW1401014-I_44
chr8	54297322	54729414	432093	*	ww-wc	NW1401014-I_44	2	NW1401014-I_44
chr9	28459378	28842558	383181	*	wc-ww	NW1401014-I_44	2	NW1401014-I_44
chr13	78875281	78972434	97154	*	cc-wc	NW1401014-I_46	2	NW1401014-I_46
chr3	71955870	72185913	230044	*	cc-wc	NW1401014-I_46	2	NW1401014-I_46
chr3	184930465	185237964	307500	*	wc-ww	NW1401014-I_46	2	NW1401014-I_46
chr5	60066683	60355242	288560	*	wc-cc	NW1401014-I_46	2	NW1401014-I_46
chr6	132923993	133060951	136959	*	wc-cc	NW1401014-I_46	2	NW1401014-I_46
chr7	10842742	11025120	182379	*	wc-ww	NW1401014-I_46	2	NW1401014-I_46
chr8	7073109	7392208	319100	*	cc-wc	NW1401014-I_46	2	NW1401014-I_46
chr8	12477195	12666803	189609	*	wc-cc	NW1401014-I_46	2	NW1401014-I_46
chr9	2549430	2706551	157122	*	ww-wc	NW1401014-I_46	2	NW1401014-I_46
chr2	8026204	8502744	476541	*	ww-wc	NW1401014-I_54	2	NW1401014-I_54
chr2	24213579	24925718	712140	*	wc-ww	NW1401014-I_54	2	NW1401014-I_54
chr2	115500098	116474023	973926	*	ww-wc	NW1401014-I_54	2	NW1401014-I_54
chr2	134898558	135626753	728196	*	wc-cc	NW1401014-I_54	2	NW1401014-I_54
chr3	119630186	120114710	484525	*	ww-wc	NW1401014-I_54	2	NW1401014-I_54
chr4	9767453	10196337	428885	*	cc-wc	NW1401014-I_54	2	NW1401014-I_54
chr4	61564666	62014201	449536	*	wc-cc	NW1401014-I_54	2	NW1401014-I_54
chr6	20395235	20898332	503098	*	wc-cc	NW1401014-I_54	2	NW1401014-I_54
chr8	6815933	8459405	1643473	*	wc-cc	NW1401014-I_54	2	NW1401014-I_54
chr8	11946015	13104983	1158969	*	cc-wc	NW1401014-I_54	2	NW1401014-I_54
chr9	129390768	130046309	655542	*	wc-cc	NW1401014-I_54	2	NW1401014-I_54
chr2	121327941	121933004	605064	*	wc-cc	NW1401014-I_55	2	NW1401014-I_55
chr2	132494884	132928300	433417	*	cc-wc	NW1401014-I_55	2	NW1401014-I_55
chr2	154088867	155030045	941179	*	wc-cc	NW1401014-I_55	2	NW1401014-I_55
chr3	60644573	61221307	576735	*	cc-wc	NW1401014-I_55	2	NW1401014-I_55
chr3	153001010	153434465	433456	*	wc-cc	NW1401014-I_55	2	NW1401014-I_55
chr4	80897839	82470825	1572987	*	wc-ww	NW1401014-I_55	2	NW1401014-I_55
chr4	96473523	96715769	242247	*	ww-wc	NW1401014-I_55	2	NW1401014-I_55
chr4	172112788	172701344	588557	*	wc-ww	NW1401014-I_55	2	NW1401014-I_55
chr5	64428033	64917665	489633	*	wc-ww	NW1401014-I_55	2	NW1401014-I_55
chr7	110913121	111360808	447688	*	ww-wc	NW1401014-I_55	2	NW1401014-I_55
chr7	152363453	152696387	332935	*	wc-cc	NW1401014-I_55	2	NW1401014-I_55
chr8	7127631	8570637	1443007	*	wc-ww	NW1401014-I_55	2	NW1401014-I_55
chr8	11963709	12969441	1005733	*	ww-wc	NW1401014-I_55	2	NW1401014-I_55
chr10	73838589	74118711	280123	*	wc-cc	NW1401014-I_57	2	NW1401014-I_57
chr10	112820514	112905094	84581	*	cc-wc	NW1401014-I_57	2	NW1401014-I_57
chr11	103007506	103341098	333593	*	cc-wc	NW1401014-I_57	2	NW1401014-I_57
chr12	104514881	104982631	467751	*	wc-ww	NW1401014-I_57	2	NW1401014-I_57
chr15	76426306	76744722	318417	*	ww-wc	NW1401014-I_57	2	NW1401014-I_57
chr15	90834032	91074963	240932	*	wc-ww	NW1401014-I_57	2	NW1401014-I_57
chr16	77149436	77274250	124815	*	wc-ww	NW1401014-I_57	2	NW1401014-I_57
chr2	99925868	100128193	202326	*	wc-ww	NW1401014-I_57	2	NW1401014-I_57
chr2	123666438	123939040	272603	*	ww-wc	NW1401014-I_57	2	NW1401014-I_57
chr2	176368739	176498440	129702	*	wc-ww	NW1401014-I_57	2	NW1401014-I_57
chr3	128413788	128551017	137230	*	ww-wc	NW1401014-I_57	2	NW1401014-I_57
chr6	139027797	139241383	213587	*	cc-wc	NW1401014-I_57	2	NW1401014-I_57
chr8	7105654	8178336	1072683	*	ww-wc	NW1401014-I_57	2	NW1401014-I_57
chr8	11941490	12746854	805365	*	wc-ww	NW1401014-I_57	2	NW1401014-I_57
chrX	2698863	2920207	221345	*	wc-ww	NW1401014-I_57	2	NW1401014-I_57
chr1	110568219	110693702	125484	*	cc-wc	NW1401014-I_58	2	NW1401014-I_58
chr11	114531426	114788841	257416	*	wc-cc	NW1401014-I_58	2	NW1401014-I_58
chr12	44421588	44681509	259922	*	wc-cc	NW1401014-I_58	2	NW1401014-I_58
chr2	174437693	174730032	292340	*	cc-wc	NW1401014-I_58	2	NW1401014-I_58
chr22	21056934	21954745	897812	*	ww-wc	NW1401014-I_58	2	NW1401014-I_58
chr3	104786229	104895110	108882	*	cc-wc	NW1401014-I_58	2	NW1401014-I_58
chr3	172597866	172920197	322332	*	wc-ww	NW1401014-I_58	2	NW1401014-I_58
chr4	73738675	73855232	116558	*	cc-wc	NW1401014-I_58	2	NW1401014-I_58
chr5	7845987	8056771	210785	*	ww-wc	NW1401014-I_58	2	NW1401014-I_58
chr6	96934028	97073145	139118	*	wc-cc	NW1401014-I_58	2	NW1401014-I_58
chr7	19046499	19452411	405913	*	cc-wc	NW1401014-I_58	2	NW1401014-I_58
chr10	130513199	131269091	755893	*	wc-ww	NW1401014-I_65	2	NW1401014-I_65
chr14	81946263	82395049	448787	*	wc-cc	NW1401014-I_65	2	NW1401014-I_65
chr14	87653387	88067422	414036	*	cc-wc	NW1401014-I_65	2	NW1401014-I_65
chr16	59993829	60626849	633021	*	wc-ww	NW1401014-I_65	2	NW1401014-I_65
chr16	65283335	66119109	835775	*	ww-wc	NW1401014-I_65	2	NW1401014-I_65
chr19	46730381	47213532	483152	*	cc-wc	NW1401014-I_65	2	NW1401014-I_65
chr2	45446359	45760833	314475	*	wc-cc	NW1401014-I_65	2	NW1401014-I_65
chr3	33220239	34012880	792642	*	wc-cc	NW1401014-I_65	2	NW1401014-I_65
chr3	41888570	43260571	1372002	*	cc-wc	NW1401014-I_65	2	NW1401014-I_65
chr3	57164447	57712828	548382	*	wc-cc	NW1401014-I_65	2	NW1401014-I_65
chr8	6642874	8278504	1635631	*	wc-cc	NW1401014-I_65	2	NW1401014-I_65
chr8	11754497	12644532	890036	*	cc-wc	NW1401014-I_65	2	NW1401014-I_65
chrX	1662044	7265868	5603825	*	wc-ww	NW1401014-I_65	2	NW1401014-I_65
chr1	220830006	221013005	183000	*	wc-cc	NW1401014-I_68	2	NW1401014-I_68
chr13	107231482	107489732	258251	*	wc-cc	NW1401014-I_68	2	NW1401014-I_68
chr14	88437161	89254139	816979	*	wc-cc	NW1401014-I_68	2	NW1401014-I_68
chr17	60872490	61391174	518685	*	ww-wc	NW1401014-I_68	2	NW1401014-I_68
chr2	230446845	230703765	256921	*	ww-wc	NW1401014-I_68	2	NW1401014-I_68
chr5	13950019	14196620	246602	*	wc-ww	NW1401014-I_68	2	NW1401014-I_68
chr5	16252913	16551735	298823	*	ww-wc	NW1401014-I_68	2	NW1401014-I_68
chr5	94041305	94496450	455146	*	wc-cc	NW1401014-I_68	2	NW1401014-I_68
chr8	7091972	8379467	1287496	*	ww-wc	NW1401014-I_68	2	NW1401014-I_68
chr8	11946638	12773678	827041	*	wc-ww	NW1401014-I_68	2	NW1401014-I_68
chr12	22046416	22289744	243329	*	cc-wc	NW1401014-I_69	2	NW1401014-I_69
chr18	46729399	46833336	103938	*	wc-cc	NW1401014-I_69	2	NW1401014-I_69
chr18	56888926	57061998	173073	*	cc-wc	NW1401014-I_69	2	NW1401014-I_69
chr2	74537560	74695329	157770	*	cc-wc	NW1401014-I_69	2	NW1401014-I_69
chr3	60325894	60467131	141238	*	wc-cc	NW1401014-I_69	2	NW1401014-I_69
chr4	90276079	90954511	678433	*	wc-cc	NW1401014-I_69	2	NW1401014-I_69
chr6	80871635	81295147	423513	*	wc-ww	NW1401014-I_69	2	NW1401014-I_69
chr7	113222750	113399097	176348	*	ww-wc	NW1401014-I_69	2	NW1401014-I_69
chr8	7075453	8259720	1184268	*	wc-ww	NW1401014-I_69	2	NW1401014-I_69
chr8	11888357	12554363	666007	*	ww-wc	NW1401014-I_69	2	NW1401014-I_69
chrX	2709472	2885022	175551	*	wc-cc	NW1401014-I_69	2	NW1401014-I_69
chr16	78325571	78809817	484247	*	wc-cc	NW1401014-I_76	2	NW1401014-I_76
chr17	74875555	74947161	71607	*	wc-ww	NW1401014-I_76	2	NW1401014-I_76
chr2	39415790	39815303	399514	*	wc-ww	NW1401014-I_76	2	NW1401014-I_76
chr2	138935096	139349940	414845	*	ww-wc	NW1401014-I_76	2	NW1401014-I_76
chr3	60295845	60656450	360606	*	cc-wc	NW1401014-I_76	2	NW1401014-I_76
chr4	90699136	90932944	233809	*	wc-cc	NW1401014-I_76	2	NW1401014-I_76
chr5	5364237	5579544	215308	*	ww-wc	NW1401014-I_76	2	NW1401014-I_76
chr6	56078572	56664363	585792	*	wc-ww	NW1401014-I_76	2	NW1401014-I_76
chr6	158072524	158467023	394500	*	ww-wc	NW1401014-I_76	2	NW1401014-I_76
chr8	7025238	8251728	1226491	*	ww-wc	NW1401014-I_76	2	NW1401014-I_76
chr8	11974725	12692011	717287	*	wc-ww	NW1401014-I_76	2	NW1401014-I_76
chr9	123956630	124243194	286565	*	cc-wc	NW1401014-I_76	2	NW1401014-I_76
chrX	2671862	3225886	554025	*	wc-ww	NW1401014-I_76	2	NW1401014-I_76
chr1	221593423	221832374	238952	*	wc-ww	NW1401014-I_77	2	NW1401014-I_77
chr12	9762987	20735575	10972589	*	wc-ww	NW1401014-I_77	2	NW1401014-I_77
chr12	31425145	31795218	370074	*	ww-wc	NW1401014-I_77	2	NW1401014-I_77
chr14	60700082	61100333	400252	*	ww-wc	NW1401014-I_77	2	NW1401014-I_77
chr18	7426622	7613495	186874	*	cc-wc	NW1401014-I_77	2	NW1401014-I_77
chr2	205946567	206242770	296204	*	ww-wc	NW1401014-I_77	2	NW1401014-I_77
chr4	90827789	91092465	264677	*	wc-cc	NW1401014-I_77	2	NW1401014-I_77
chr5	36595417	36871556	276140	*	wc-ww	NW1401014-I_77	2	NW1401014-I_77
chr5	124993090	125154316	161227	*	ww-wc	NW1401014-I_77	2	NW1401014-I_77
chr6	94463423	95786071	1322649	*	wc-ww	NW1401014-I_77	2	NW1401014-I_77
chr6	99215453	99592103	376651	*	ww-wc	NW1401014-I_77	2	NW1401014-I_77
chr7	15601686	15912740	311055	*	wc-ww	NW1401014-I_77	2	NW1401014-I_77
chr8	7115507	8348725	1233219	*	wc-ww	NW1401014-I_77	2	NW1401014-I_77
chr9	27889184	28054947	165764	*	cc-wc	NW1401014-I_77	2	NW1401014-I_77
chrX	2685044	2869381	184338	*	wc-ww	NW1401014-I_77	2	NW1401014-I_77
chr1	111390208	111790988	400781	*	ww-wc	NW1401014-I_79	2	NW1401014-I_79
chr1	192832418	193208436	376019	*	wc-ww	NW1401014-I_79	2	NW1401014-I_79
chr11	37593550	38055705	462156	*	wc-cc	NW1401014-I_79	2	NW1401014-I_79
chr11	41757871	42058054	300184	*	cc-wc	NW1401014-I_79	2	NW1401014-I_79
chr14	39692142	39952991	260850	*	ww-wc	NW1401014-I_79	2	NW1401014-I_79
chr14	95918772	96370016	451245	*	wc-ww	NW1401014-I_79	2	NW1401014-I_79
chr2	30108289	30279726	171438	*	ww-wc	NW1401014-I_79	2	NW1401014-I_79
chr3	75861735	76203799	342065	*	cc-wc	NW1401014-I_79	2	NW1401014-I_79
chr4	6294535	6551339	256805	*	cc-wc	NW1401014-I_79	2	NW1401014-I_79
chr6	14373860	14808297	434438	*	ww-wc	NW1401014-I_79	2	NW1401014-I_79
chr8	6943705	7116625	172921	*	wc-cc	NW1401014-I_79	2	NW1401014-I_79
chr8	11942356	12650677	708322	*	cc-wc	NW1401014-I_79	2	NW1401014-I_79
chrX	2653028	2889205	236178	*	wc-ww	NW1401014-I_79	2	NW1401014-I_79
chr10	112341248	112651666	310419	*	wc-ww	NW1401014-I_86	2	NW1401014-I_86
chr14	76916275	77116433	200159	*	wc-cc	NW1401014-I_86	2	NW1401014-I_86
chr2	224668082	224926538	258457	*	wc-cc	NW1401014-I_86	2	NW1401014-I_86
chr4	165578056	165911386	333331	*	wc-ww	NW1401014-I_86	2	NW1401014-I_86
chr7	15723510	16042673	319164	*	ww-wc	NW1401014-I_86	2	NW1401014-I_86
chr7	48105295	48385345	280051	*	wc-ww	NW1401014-I_86	2	NW1401014-I_86
chr8	7028536	7836316	807781	*	cc-wc	NW1401014-I_86	2	NW1401014-I_86
chr8	11952471	12700860	748390	*	wc-cc	NW1401014-I_86	2	NW1401014-I_86
chr1	48039255	48169664	130410	*	wc-ww	NW1401014-I_91	2	NW1401014-I_91
chr11	90247104	90812821	565718	*	cc-wc	NW1401014-I_91	2	NW1401014-I_91
chr12	41961171	42252342	291172	*	cc-wc	NW1401014-I_91	2	NW1401014-I_91
chr18	52465684	52885793	420110	*	wc-cc	NW1401014-I_91	2	NW1401014-I_91
chr22	43248334	43347860	99527	*	ww-wc	NW1401014-I_91	2	NW1401014-I_91
chr4	66465492	66943326	477835	*	cc-wc	NW1401014-I_91	2	NW1401014-I_91
chr8	7068602	8344774	1276173	*	cc-wc	NW1401014-I_91	2	NW1401014-I_91
chr8	11867179	12775215	908037	*	wc-cc	NW1401014-I_91	2	NW1401014-I_91
chrX	2646312	3075039	428728	*	wc-cc	NW1401014-I_91	2	NW1401014-I_91
chr1	10404897	10773287	368391	*	ww-wc	NW140312-VI_04	2	NW140312-VI_04
chr1	221177953	221539876	361924	*	ww-wc	NW140312-VI_04	2	NW140312-VI_04
chr10	7307568	7616097	308530	*	wc-ww	NW140312-VI_04	2	NW140312-VI_04
chr10	19546551	20170119	623569	*	ww-wc	NW140312-VI_04	2	NW140312-VI_04
chr13	32866540	33168343	301804	*	wc-ww	NW140312-VI_04	2	NW140312-VI_04
chr13	77258092	77887306	629215	*	ww-wc	NW140312-VI_04	2	NW140312-VI_04
chr14	24336176	25040398	704223	*	ww-wc	NW140312-VI_04	2	NW140312-VI_04
chr14	33742441	34071758	329318	*	wc-ww	NW140312-VI_04	2	NW140312-VI_04
chr14	76102101	76904106	802006	*	ww-wc	NW140312-VI_04	2	NW140312-VI_04
chr17	59199586	59529928	330343	*	wc-cc	NW140312-VI_04	2	NW140312-VI_04
chr17	70227474	70770324	542851	*	cc-wc	NW140312-VI_04	2	NW140312-VI_04
chr19	5305178	5517278	212101	*	cc-wc	NW140312-VI_04	2	NW140312-VI_04
chr19	35193345	35583995	390651	*	wc-ww	NW140312-VI_04	2	NW140312-VI_04
chr2	45040829	45441549	400721	*	wc-ww	NW140312-VI_04	2	NW140312-VI_04
chr2	66370527	66904909	534383	*	ww-wc	NW140312-VI_04	2	NW140312-VI_04
chr22	22427797	23537840	1110044	*	wc-cc	NW140312-VI_04	2	NW140312-VI_04
chr3	14940934	15250987	310054	*	ww-wc	NW140312-VI_04	2	NW140312-VI_04
chr3	172017057	172507442	490386	*	wc-cc	NW140312-VI_04	2	NW140312-VI_04
chr4	72724287	73384523	660237	*	cc-wc	NW140312-VI_04	2	NW140312-VI_04
chr4	78008266	78522798	514533	*	wc-ww	NW140312-VI_04	2	NW140312-VI_04
chr4	145101647	145697543	595897	*	ww-wc	NW140312-VI_04	2	NW140312-VI_04
chr4	173267092	173784240	517149	*	wc-ww	NW140312-VI_04	2	NW140312-VI_04
chr5	94535669	95134631	598963	*	cc-wc	NW140312-VI_04	2	NW140312-VI_04
chr6	61684538	62273843	589306	*	wc-ww	NW140312-VI_04	2	NW140312-VI_04
chr7	48644389	49334275	689887	*	cc-wc	NW140312-VI_04	2	NW140312-VI_04
chr7	134691849	135438223	746375	*	wc-cc	NW140312-VI_04	2	NW140312-VI_04
chr8	6975778	8270005	1294228	*	wc-ww	NW140312-VI_04	2	NW140312-VI_04
chr8	12000736	12947222	946487	*	ww-wc	NW140312-VI_04	2	NW140312-VI_04
chr8	63748935	64265651	516717	*	wc-cc	NW140312-VI_04	2	NW140312-VI_04
chr8	113160972	113491694	330723	*	cc-wc	NW140312-VI_04	2	NW140312-VI_04
chr9	80898345	81266952	368608	*	cc-wc	NW140312-VI_04	2	NW140312-VI_04
chr1	91143810	91429879	286070	*	wc-cc	NW140312-VI_05	2	NW140312-VI_05
chr10	61452550	61613342	160793	*	cc-wc	NW140312-VI_05	2	NW140312-VI_05
chr13	64138491	64305617	167127	*	wc-cc	NW140312-VI_05	2	NW140312-VI_05
chr13	79595838	79815417	219580	*	cc-wc	NW140312-VI_05	2	NW140312-VI_05
chr14	27175924	27599952	424029	*	wc-cc	NW140312-VI_05	2	NW140312-VI_05
chr14	35337579	35539759	202181	*	cc-wc	NW140312-VI_05	2	NW140312-VI_05
chr14	101240836	101439334	198499	*	wc-cc	NW140312-VI_05	2	NW140312-VI_05
chr15	23913832	24607916	694085	*	cc-wc	NW140312-VI_05	2	NW140312-VI_05
chr15	43895387	44075091	179705	*	wc-ww	NW140312-VI_05	2	NW140312-VI_05
chr16	18060968	18915496	854529	*	wc-cc	NW140312-VI_05	2	NW140312-VI_05
chr16	24495212	24645211	150000	*	cc-wc	NW140312-VI_05	2	NW140312-VI_05
chr17	1589071	2022908	433838	*	cc-wc	NW140312-VI_05	2	NW140312-VI_05
chr18	8920549	9318856	398308	*	cc-wc	NW140312-VI_05	2	NW140312-VI_05
chr18	75243048	75422928	179881	*	wc-cc	NW140312-VI_05	2	NW140312-VI_05
chr2	22775938	22908275	132338	*	cc-wc	NW140312-VI_05	2	NW140312-VI_05
chr2	107483671	107950781	467111	*	wc-cc	NW140312-VI_05	2	NW140312-VI_05
chr2	112326301	112569583	243283	*	cc-wc	NW140312-VI_05	2	NW140312-VI_05
chr2	146499948	146658944	158997	*	wc-cc	NW140312-VI_05	2	NW140312-VI_05
chr2	220913725	221034638	120914	*	cc-wc	NW140312-VI_05	2	NW140312-VI_05
chr2	233409501	233712400	302900	*	wc-ww	NW140312-VI_05	2	NW140312-VI_05
chr3	16485508	16628165	142658	*	wc-cc	NW140312-VI_05	2	NW140312-VI_05
chr3	121667330	122033128	365799	*	cc-wc	NW140312-VI_05	2	NW140312-VI_05
chr3	147331816	147483962	152147	*	wc-cc	NW140312-VI_05	2	NW140312-VI_05
chr3	151775403	151939721	164319	*	cc-wc	NW140312-VI_05	2	NW140312-VI_05
chr3	183578527	183862024	283498	*	wc-cc	NW140312-VI_05	2	NW140312-VI_05
chr4	79383884	79651164	267281	*	ww-wc	NW140312-VI_05	2	NW140312-VI_05
chr4	111527327	111792832	265506	*	wc-ww	NW140312-VI_05	2	NW140312-VI_05
chr4	152118426	152425336	306911	*	ww-wc	NW140312-VI_05	2	NW140312-VI_05
chr4	181904340	181982728	78389	*	wc-cc	NW140312-VI_05	2	NW140312-VI_05
chr5	55092883	55384671	291789	*	wc-cc	NW140312-VI_05	2	NW140312-VI_05
chr5	113663230	113878245	215016	*	cc-wc	NW140312-VI_05	2	NW140312-VI_05
chr6	64501926	64701658	199733	*	ww-wc	NW140312-VI_05	2	NW140312-VI_05
